Sample,X(ms) [12.08.2026 16:46:29 040 UTC],"I1[%I17.0]","I2[%I17.1]","I3[%I17.2]","I4[%I17.3]","Q1[%Q4.0]","Q2[%Q4.1]","Q3[%Q4.2]","Q4[%Q4.3]"
253219,1786553445616.705713,0,0,0,1,0,0,1,0
253220,1786553445617.709500,0,0,0,1,0,0,1,0
253221,1786553445618.717088,0,0,0,1,0,0,1,0
253222,1786553445619.726776,0,0,0,1,0,0,1,0
253223,1786553445620.755165,0,0,0,1,0,0,1,0
253224,1786553445621.784154,0,0,0,1,0,0,1,0
253225,1786553445622.771039,0,0,0,1,0,0,1,0
253226,1786553445623.774625,0,0,0,1,0,0,1,0
253227,1786553445624.802313,0,0,0,1,0,0,1,0
253228,1786553445625.796600,0,0,0,1,0,0,1,0
253229,1786553445626.800886,0,0,0,1,0,0,1,0
253230,1786553445627.829578,0,0,0,1,0,0,1,0
253231,1786553445628.834866,0,0,0,1,0,0,1,0
253232,1786553445629.843954,0,0,0,1,0,0,1,0
253233,1786553445630.852142,0,0,0,1,0,0,1,0
253234,1786553445631.860529,0,0,0,1,0,0,1,0
253235,1786553445632.869216,0,0,0,1,0,0,1,0
253236,1786553445633.878104,0,0,0,1,0,0,1,0
253237,1786553445634.899494,0,0,0,1,0,0,1,0
253238,1786553445635.897181,0,0,0,1,0,0,1,0
253239,1786553445636.905867,0,0,0,1,0,0,1,0
253240,1786553445637.956858,0,0,0,1,0,0,1,0
253241,1786553445638.926642,0,0,0,1,0,0,1,0
253242,1786553445640.487476,0,0,0,1,0,0,1,0
253243,1786553445641.062028,0,0,0,1,0,0,1,0
253244,1786553445642.050215,0,0,0,1,0,0,1,0
253245,1786553445643.065903,0,0,0,1,0,0,1,0
253246,1786553445644.027888,0,0,0,1,0,0,1,0
253247,1786553445645.039277,0,0,0,1,0,0,1,0
253248,1786553445646.042163,0,0,0,1,0,0,1,0
253249,1786553445647.049050,0,0,0,1,0,0,1,0
253250,1786553445648.067938,0,0,0,1,0,0,1,0
253251,1786553445649.073925,0,0,0,1,0,0,1,0
253252,1786553445650.082512,0,0,0,1,0,0,1,0
253253,1786553445651.092000,0,0,0,1,0,0,1,0
253254,1786553445652.103487,0,0,0,1,0,0,1,0
253255,1786553445653.118475,0,0,0,1,0,0,1,0
253256,1786553445654.153563,0,0,0,1,0,0,1,0
253257,1786553445655.152950,0,0,0,1,0,0,1,0
253258,1786553445656.150037,0,0,0,1,0,0,1,0
253259,1786553445657.158524,0,0,0,1,0,0,1,0
253260,1786553445658.165013,0,0,0,1,0,0,1,0
253261,1786553445659.174798,0,0,0,1,0,0,1,0
253262,1786553445660.185886,0,0,0,1,0,0,1,0
253263,1786553445661.193874,0,0,0,1,0,0,1,0
253264,1786553445662.203462,0,0,0,1,0,0,1,0
253265,1786553445663.215050,0,0,0,1,0,0,1,0
253266,1786553445664.221637,0,0,0,1,0,0,1,0
253267,1786553445665.231223,0,0,0,1,0,0,1,0
253268,1786553445666.240010,0,0,0,1,0,0,1,0
253269,1786553445667.249098,0,0,0,1,0,0,1,0
253270,1786553445668.258785,0,0,0,1,0,0,1,0
253271,1786553445669.272873,0,0,0,1,0,0,1,0
253272,1786553445670.318764,0,0,0,1,0,0,1,0
253273,1786553445671.295948,0,0,0,1,0,0,1,0
253274,1786553445672.304837,0,0,0,1,0,0,1,0
253275,1786553445673.331627,0,0,0,1,0,0,1,0
253276,1786553445674.306411,0,0,0,1,0,0,1,0
253277,1786553445675.314099,0,0,0,1,0,0,1,0
253278,1786553445676.320487,0,0,0,1,0,0,1,0
253279,1786553445677.324775,0,0,0,1,0,0,1,0
253280,1786553445678.336063,0,0,0,1,0,0,1,0
253281,1786553445679.342351,0,0,0,1,0,0,1,0
253282,1786553445680.351839,0,0,0,1,0,0,1,0
253283,1786553445681.357825,0,0,0,1,0,0,1,0
253284,1786553445682.367912,0,0,0,1,0,0,1,0
253285,1786553445683.453203,0,0,0,1,0,0,1,0
253286,1786553445684.438090,0,0,0,1,0,0,1,0
253287,1786553445685.426875,0,0,0,1,0,0,1,0
253288,1786553445686.453965,0,0,0,1,0,0,1,0
253289,1786553445687.425648,0,0,0,1,0,0,1,0
253290,1786553445688.439034,0,0,0,1,0,0,1,0
253291,1786553445689.448322,0,0,0,1,0,0,1,0
253292,1786553445690.472410,0,0,0,1,0,0,1,0
253293,1786553445691.463796,0,0,0,1,0,0,1,0
253294,1786553445692.471081,0,0,0,1,0,0,1,0
253295,1786553445693.479167,0,0,0,1,0,0,1,0
253296,1786553445694.489856,0,0,0,1,0,0,1,0
253297,1786553445695.495243,0,0,0,1,0,0,1,0
